SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_56,1,465,SFS45 - Learmonth_Soil-Moisture_800,2013-06-20T14:15:00.000Z,2017-03-26T23:45:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_49,1,469,SFS51 - Longford_Soil-Moisture_800,2014-07-02T14:00:00.000Z,2018-06-19T00:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_50,1,471,SFS52 - Nile_Soil-Moisture_800,2013-06-28T04:30:00.000Z,2016-07-15T05:38:27.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_5,1,472,SFS44  - Willaura_Soil-Moisture_800,2014-03-26T16:00:00.000Z,2014-08-04T02:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_34,1,473,SFS53 - Western Junction_Soil-Moisture_800,2013-09-03T23:30:00.000Z,2014-04-06T06:50:47.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_8,1,474,SFS54 - Lake River Cressy_Soil-Moisture_800,2014-03-26T16:00:00.000Z,2014-08-14T02:56:01.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_57,1,475,SFS48 - Ballan2_Soil-Moisture_800,2014-08-08T05:07:56.000Z,2016-10-10T20:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_19,1,476,SFS40 - Balliang East_Soil-Moisture_800,2013-09-02T02:48:10.000Z,2017-03-26T23:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_18,1,477,SFS39 - Lake Bolac3_Soil-Moisture_800,2013-09-06T00:21:45.000Z,2017-04-18T01:40:16.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_76,1,478,SFS17 - Woorndoo (2)_Soil-Moisture_800,2013-09-12T14:15:00.000Z,2018-04-16T23:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_70,1,480,SFS49 - Cavendish_Soil-Moisture_800,2013-09-11T01:48:36.000Z,2017-04-05T23:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_71,1,481,SFS57 - Branxholme_Soil-Moisture_800,2013-09-11T05:27:12.000Z,2017-04-06T04:45:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_20,1,483,SFS43 - Gatum_Soil-Moisture_800,2013-09-11T03:21:47.000Z,2017-04-10T06:30:00.000Z,Soil-Moisture,800,800,TRUE,mm
