SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units,IsActive
BoMLatest_95770_IDN60801,1,wind_spd_kmh,95770_Wind-Speed,1989-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95758_IDN60801,1,air_temp,95758_Temperature,1988-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95758_IDN60801,1,press,95758_Atmospheric-Pressure,1988-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95758_IDN60801,1,rain_trace,95758_Rainfall,1988-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95758_IDN60801,1,rel_hum,95758_Humidity,1988-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95758_IDN60801,1,wind_spd_kmh,95758_Wind-Speed,1988-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94775_IDN60801,1,air_temp,94775_Temperature,1967-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94775_IDN60801,1,press,94775_Atmospheric-Pressure,1967-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94775_IDN60801,1,rain_trace,94775_Rainfall,1967-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94775_IDN60801,1,rel_hum,94775_Humidity,1967-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
